shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1222_shp,42.4537500,-76.4878600,28232,6554.6389980
1222_shp,42.4537700,-76.4880000,28233,6593.1188880
1222_shp,42.4537600,-76.4880900,28234,6617.6800120
1222_shp,42.4536100,-76.4881700,28235,6676.4555340
1222_shp,42.4527900,-76.4881500,28236,6975.3471730
1222_shp,42.4527500,-76.4883800,28237,7039.1094300
1222_shp,42.4527200,-76.4889600,28238,7196.0239840
1222_shp,42.4528900,-76.4894700,28239,7346.9661040
1222_shp,42.4528000,-76.4897900,28240,7439.3478930
1222_shp,42.4527100,-76.4897800,28241,7472.2585670
1222_shp,42.4521400,-76.4898300,28242,7680.4286310
1222_shp,42.4519200,-76.4899500,28243,7766.8999840
1222_shp,42.4518800,-76.4907500,28244,7983.3022680
1222_shp,42.4516700,-76.4909600,28245,8078.5363650
1222_shp,42.4504800,-76.4908100,28246,8514.1082910
1222_shp,42.4498700,-76.4903500,28247,8768.7362600
1222_shp,42.4494000,-76.4903400,28248,8940.0454180
1222_shp,42.4494000,-76.4903400,28249,8940.0454180
1222_shp,42.4492700,-76.4903300,28250,8987.4997340
1222_shp,42.4492800,-76.4902000,28251,9022.7754540
1222_shp,42.4493200,-76.4882600,28252,9546.5834960
1222_shp,42.4493000,-76.4881100,28253,9587.7193280
1222_shp,42.4491500,-76.4876700,28254,9718.4533520
1222_shp,42.4477800,-76.4876400,28255,10217.8048940
1222_shp,42.4477800,-76.4876400,28256,10217.8048940
1222_shp,42.4467800,-76.4875900,28257,10582.4968580
1222_shp,42.4463800,-76.4873400,28258,10743.1335480
1222_shp,42.4464300,-76.4871800,28259,10790.0064470
1222_shp,42.4463200,-76.4865700,28260,10959.4630300
1222_shp,42.4455800,-76.4860700,28261,11261.0331600
1222_shp,42.4454100,-76.4858500,28262,11346.8504250
1222_shp,42.4451500,-76.4850200,28263,11590.0959170
1222_shp,42.4450800,-76.4850200,28264,11615.6068600
1222_shp,42.4447500,-76.4850300,28265,11735.9030150
1222_shp,42.4447500,-76.4850300,28266,11735.9030150
1222_shp,42.4442200,-76.4851000,28267,11929.9792050
1222_shp,42.4435000,-76.4853400,28268,12200.2558490
1222_shp,42.4428500,-76.4852100,28269,12439.7279800
1222_shp,42.4426400,-76.4853100,28270,12520.8814060
1222_shp,42.4425400,-76.4852700,28271,12558.8913650
